Iteration,LogLikelihood
0,-13181.94469115262
1,-5626.174352760299
2,-5320.361377120773
3,-5069.826639511597
4,-4969.981157168362
5,-4960.5073960373165
6,-4920.480332015034
7,-4933.282230033245
8,-4929.301671202234
9,-5015.176574082969
10,-4983.0395938107085
11,-4981.489957182857
12,-5009.681923412663
13,-4976.218495167781
14,-5084.572396112449
15,-4958.103492768629
16,-4975.292403921958
17,-5016.966003567215
18,-5034.797934692496
19,-5003.931234202404
20,-5006.490165015871
21,-5007.9810204414425
22,-5006.738803284882
23,-4942.586449620831
24,-5053.946210788729
25,-5007.00570798294
26,-5059.375138780765
27,-5002.16769067572
28,-4937.507568710995
29,-4964.173737825713
30,-5091.837322140128
31,-5062.876136833445
32,-5043.8014036675
33,-5014.889802740259
34,-4926.040955151812
35,-4973.306835858056
36,-4931.9794692619
37,-4907.466801733521
38,-4978.576453636403
39,-4953.578372685686
40,-4955.658290352824
41,-4983.930408389921
42,-4990.519205442133
43,-5000.391301226451
44,-4967.742182481996
45,-5003.917291247679
46,-4880.247581695987
47,-4967.004050135588
48,-4976.092951105316
49,-5026.035561305809
50,-4995.498959165389
51,-4996.707363736182
52,-5041.504027593021
53,-4971.911310877399
54,-5094.64974492153
55,-4995.456049571135
56,-5002.095298641024
57,-4974.637308639913
58,-5014.672936014898
59,-4946.984708963018
60,-4927.710668624286
61,-4946.215430482727
62,-4957.836924819191
63,-4961.946873111615
64,-4967.439806050897
65,-4933.784516686343
66,-4993.322052534285
67,-4996.180724287231
68,-4954.544246956779
69,-4930.201236083525
70,-4946.658094667724
71,-5026.609161771025
72,-4966.224914825922
73,-4967.594371244145
74,-4978.367797744834
75,-5016.933603339404
76,-5018.403950024747
77,-4995.1843061235395
78,-4999.51524290841
79,-5012.203268537666
80,-4994.62212485257
81,-4956.062685820608
82,-4988.92219589493
83,-5032.342862015049
84,-4938.186689532565
85,-5036.600597307845
86,-5101.007366471011
87,-4951.103526700582
88,-4952.563526459193
89,-4907.1471890211615
90,-4976.576583958815
91,-4919.44242789203
92,-4975.446813234095
93,-4896.115614447176
94,-5029.618959239855
95,-4958.317396906643
96,-4963.52076927182
97,-4902.720521676832
98,-4948.743172435112
99,-4964.22538526004
100,-4920.322950287509
