Iteration,LogLikelihood
0,-12610.128991419284
1,-5851.792732363872
2,-6495.561250976951
3,-5564.629636770096
4,-6176.298657078849
5,-5575.6512518540785
6,-5881.455219145496
7,-5592.676656686978
8,-5793.178538564629
9,-5580.1038538008925
10,-5723.226380175845
11,-5613.764632543593
12,-5719.528632338247
13,-5642.172268496853
14,-5717.719844625482
15,-5604.245822210302
16,-5702.31173417449
17,-5673.11411308367
18,-5692.403454624243
19,-5645.966449435693
20,-5631.100974303773
21,-5632.184533872785
22,-5614.540156292078
23,-5677.355619411892
24,-5668.830749047844
25,-5663.324257316064
26,-5706.137269767412
27,-5770.434308806853
28,-5674.495576252
29,-5699.80795705761
30,-5646.7189445770655
31,-5630.577138086177
32,-5715.023828184913
33,-5614.511901980753
34,-5640.63176227148
35,-5628.795598522274
36,-5651.58329790804
37,-5659.028546075841
38,-5647.346293034516
39,-5672.467124440948
40,-5668.37463011407
41,-5653.10038784427
42,-5660.446169284487
43,-5704.903757494343
44,-5639.699386611017
45,-5698.616027064384
46,-5680.939224377783
47,-5637.917419981477
48,-5617.799005200475
49,-5607.395521629267
50,-5611.911731894774
51,-5693.788378438101
52,-5624.704850169819
53,-5652.853510557719
54,-5639.017230755999
55,-5639.430990598029
56,-5686.115819824659
57,-5653.967984588637
58,-5669.598012676119
59,-5689.985845049991
60,-5631.364789931538
61,-5617.342511409406
62,-5667.947147442564
63,-5693.589563631825
64,-5694.414747072324
65,-5691.8848347215835
66,-5680.696567118905
67,-5702.4805094561325
68,-5661.4764259424
69,-5662.417165801033
70,-5709.829650429572
71,-5682.015064969506
72,-5678.080892896998
73,-5664.196979788985
74,-5656.717199020872
75,-5696.8807017134795
76,-5722.258951723936
77,-5640.854028086348
78,-5698.1799149097005
79,-5665.095315591837
80,-5712.203204948624
81,-5666.662777388676
82,-5648.592920248262
83,-5638.714005373358
84,-5665.755753291416
85,-5770.460852311826
86,-5709.435062252146
87,-5667.076735870945
88,-5669.596575876292
89,-5612.54963203296
90,-5705.208138602417
91,-5665.690022476067
92,-5742.110257201872
93,-5671.823893416387
94,-5696.467627841239
95,-5681.183566271349
96,-5733.372503056073
97,-5658.903271026621
98,-5700.010425829405
99,-5687.837760698698
100,-5704.1382983503745
