Iteration,LogLikelihood
0,-12684.002599819283
1,-6680.397836565698
2,-6102.029516485799
3,-5547.237144654935
4,-5937.472813447326
5,-5485.720802107725
6,-5835.479199301172
7,-5547.595820115971
8,-5782.23511305642
9,-5424.904556273645
10,-5640.053852825038
11,-5534.358699401053
12,-5711.2706220752425
13,-5605.2080059758
14,-5776.506681692443
15,-5594.109322538184
16,-5743.785996670622
17,-5624.5584192049355
18,-5746.800706805577
19,-5626.552172284796
20,-5671.685210065313
21,-5555.337873243032
22,-5530.049838159572
23,-5515.033514747821
24,-5540.1193218653525
25,-5573.027492722418
26,-5548.978706867106
27,-5576.434617074853
28,-5716.218768653917
29,-5617.019389764688
30,-5641.709009343316
31,-5755.370982009878
32,-5613.082396591097
33,-5674.793849022522
34,-5704.133094008779
35,-5623.881406991057
36,-5577.741116885469
37,-5695.225560839933
38,-5619.489351623131
39,-5647.618027164334
40,-5598.646690244838
41,-5688.858677203119
42,-5666.922039279028
43,-5676.957368911371
44,-5583.676338808046
45,-5758.0078148641505
46,-5736.118452785515
47,-5794.650955177329
48,-5720.956800973224
49,-5623.9866080658485
50,-5731.644455655562
51,-5673.621745396263
52,-5721.047425043551
53,-5796.420817948794
54,-5717.644198463919
55,-5692.012095973469
56,-5693.738262569733
57,-5709.397873172314
58,-5720.015514935714
59,-5811.845386559658
60,-5675.429827269725
61,-5667.405188845786
62,-5648.978959185176
63,-5696.17952032681
64,-5752.528114182971
65,-5828.866274364274
66,-5675.133737840068
67,-5728.9236936510115
68,-5694.914429517154
69,-5730.627875518237
70,-5615.0509647731205
71,-5752.627179603242
72,-5586.777710070381
73,-5721.152364657624
74,-5731.734347167659
75,-5736.5475658114565
76,-5674.59840814955
77,-5802.284052398708
78,-5709.710626969711
79,-5758.286745338619
80,-5815.014078673557
81,-5687.984468117702
82,-5597.79779538794
83,-5691.650853535757
84,-5643.483640189468
85,-5627.676773915282
86,-5644.959452884943
87,-5714.018545591361
88,-5633.23875927254
89,-5698.20676889695
90,-5638.936631433382
91,-5588.474008198954
92,-5632.189626698421
93,-5717.224451026936
94,-5730.712923676926
95,-5713.985855914589
96,-5663.91766168332
97,-5681.819697854576
98,-5694.883572575429
99,-5712.315296245249
100,-5765.955459688445
