Iteration,LogLikelihood
0,-13076.251552299995
1,-1712.7393209808429
2,-1479.187944350481
3,-1268.1016819852694
4,-1179.275868020779
5,-1039.7067720303116
6,-1025.8209438257459
7,-907.4398664788401
8,-863.6162973522332
9,-832.7895965168336
10,-820.8154392352503
11,-767.0689383603954
12,-829.8474412677828
13,-834.0950605802004
14,-877.8356785056438
15,-813.0162351975288
16,-777.1245018643563
17,-789.8853506681016
18,-824.8393101899608
19,-835.308580690358
20,-773.5549015523935
21,-810.1308464237968
22,-772.5021767708209
23,-880.8694075452127
24,-809.97187149764
25,-823.9345919173543
26,-754.069537387272
27,-754.6697170549459
28,-765.3649782268736
29,-795.221723115169
30,-797.3200959986991
31,-820.4493565849475
32,-788.0192839972248
33,-810.8880779616653
34,-777.1752157411335
35,-741.1008309981261
36,-805.5234353131725
37,-778.1161942338067
38,-776.7375812542199
39,-768.3490833938392
40,-827.5006367989529
41,-801.918119402883
42,-784.7992967158784
43,-785.9473304388737
44,-808.02794523617
45,-839.594582004235
46,-818.7539880319548
47,-777.8578898816137
48,-797.8594192570423
49,-797.3888368382172
50,-770.2178225792923
51,-763.395504316084
52,-738.8630382635481
53,-773.9252007093355
54,-788.1371674373419
55,-786.3697393290191
56,-784.7718815881053
57,-790.6539713712672
58,-785.0968415124399
59,-776.4756481977511
60,-750.7607233551827
61,-780.1803731372597
62,-820.8914675868792
63,-799.501287075685
64,-822.2200853622275
65,-822.6572559428105
66,-778.969503230572
67,-840.0931169009125
68,-795.3244471016636
69,-787.9180744910077
70,-829.2480814933324
71,-802.4010117400649
72,-780.3344827326299
73,-758.4998895525634
74,-743.4940268582817
75,-768.5751254362948
76,-785.4728843141362
77,-767.5849520768692
78,-757.5508184418807
79,-754.8056173348939
80,-772.4618348466128
81,-770.8839344064818
82,-762.5386105335518
83,-776.7886218337725
84,-805.1496420567411
85,-777.7600699224843
86,-761.4793881522207
87,-777.9237692461385
88,-760.7573543954716
89,-697.1742008700547
90,-690.3899490013073
91,-689.8905696018589
92,-743.1079034020522
93,-763.0949572622309
94,-760.4431312925925
95,-779.0922128747261
96,-757.7318443522255
97,-754.9087542340376
98,-729.8153463620627
99,-763.0351761325732
100,-787.8079046658344
101,-824.7566493710184
102,-811.0382211271414
103,-785.4629279641692
104,-803.5291295667989
105,-797.4294777617424
106,-835.9742991801785
107,-824.936971919296
108,-799.4334726021372
109,-797.983527909073
110,-787.2357277957431
111,-763.7208026544007
112,-798.8692696279121
113,-801.0203256790293
114,-774.1357276738757
115,-789.32287710502
116,-796.5963930454062
117,-772.6431862647646
118,-841.3680876432735
119,-804.8135150578779
120,-828.8064184040662
121,-776.7587219297296
122,-785.8895067186548
123,-746.5215872993216
124,-786.6023094188954
125,-736.1337047400368
126,-788.3350471685984
127,-794.0916223877097
128,-749.4116957058458
129,-735.9526419064865
130,-825.0402602738623
131,-814.2643005047487
132,-868.3887927215458
133,-795.7324510719384
134,-786.4885906083367
135,-810.5979928440503
136,-826.2570543346449
137,-821.001878578059
138,-805.9357793612199
139,-808.8468564689606
140,-754.6052689638134
141,-734.0211009627478
142,-760.4993479935144
143,-753.0945447781085
144,-771.8002759869731
145,-827.3893940009897
146,-791.5452736171005
147,-802.6075091016882
148,-778.0152888928513
149,-772.026796593539
150,-788.2249688005057
151,-823.6942785646334
152,-801.4370356773139
153,-825.6837562329083
154,-799.8672798199588
155,-774.1502931458939
156,-750.4441211766033
157,-742.243436592807
158,-794.6100570537216
159,-760.0194867914431
160,-756.7406209637143
161,-744.2992400729067
162,-766.2524114507901
163,-764.2598271906465
164,-757.5759333971691
165,-738.2711702264023
166,-765.4986707442406
167,-754.1150235333384
168,-805.0077940060607
169,-808.3805643302621
170,-803.2233168629344
171,-782.3463424821412
172,-798.2406143452465
173,-851.9639578288421
174,-781.03864521614
175,-791.4390373169006
176,-842.738743148306
177,-798.6492373147437
178,-815.8384140359626
179,-814.0205172062881
180,-752.8361248475809
181,-732.5388233719334
182,-838.337832303514
183,-829.9967871399283
184,-811.210990354993
185,-801.245367835978
186,-806.6615901871274
187,-741.4081959284223
188,-709.071010117772
189,-741.1805425030655
190,-765.0824727866817
191,-833.7766501266145
192,-815.1657409333667
193,-792.0851416910842
194,-806.4593426399216
195,-787.8504537077814
196,-737.758159699243
197,-767.4878177392609
198,-728.2357327217769
199,-772.8111079023787
200,-781.6929269937544
201,-810.6294988247968
202,-800.8344902946693
203,-821.5218690544709
204,-889.3022646496994
205,-838.4981664901509
206,-801.269553090667
207,-830.2321540973098
208,-862.133264441918
209,-840.6873573343723
210,-825.1267155728694
211,-824.7456413520064
212,-818.7916393154029
213,-850.5426204824174
214,-817.9211758813359
215,-826.7182096476196
216,-830.6504615206603
217,-791.8335925491696
218,-750.5018001299542
219,-752.135420936824
220,-765.3461370513257
221,-821.4893098128928
222,-821.9637445277917
223,-846.7664157339939
224,-769.4453855641412
225,-771.3478177614476
226,-788.8126170389037
227,-756.2558873714436
228,-769.7429098088551
229,-740.6215815449547
230,-744.5973023418702
231,-766.9115449952785
232,-767.8419127549649
233,-802.9555665955023
234,-792.6557778304102
235,-785.2358275531329
236,-831.7237675759117
237,-812.8591014447891
238,-808.4235740573391
239,-762.9164269708095
240,-820.2399434937735
241,-810.5951922989036
242,-831.3194455655203
243,-781.7865956578485
244,-778.9887997636926
245,-825.6668326170532
246,-850.2995518477227
247,-809.5532802928959
248,-873.4971545300493
249,-852.3192244081099
250,-831.4415409532102
